"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Aboleth Spawn","CRCotN","Medium","aberration","lawful evil","14 (natural armor)","93 (11d8 + 44)","30 ft., swim 30 ft.","19","11","18","7","12","9","","Perception +4","","psychic","","charmed, frightened","darkvision 120 ft., passive Perception 14","Common, Deep Speech, telepathy 60 ft.","5 (1,800 XP)"," Abolethic Vessel. The spawn must obey its aboleth master. Amphibious. The spawn can breathe air and water. Water Dependency. The spawn takes 6 (1d12) acid damage every 10 minutes it goes without being immersed in water."," Multiattack. The spawn makes one Spear attack, two Tentacle attacks, and one Psychic Lash attack. Spear. Melee or Ranged Weapon Attack: +7 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 7 (1d6 + 4) piercing damage, or 8 (1d8 + 4) piercing damage when used with two hands to make a melee attack. Tentacle. Melee Weapon Attack: +7 to hit, reach 10 ft., one creature. Hit: The target is grappled (escape DC 14) and takes 9 (2d8) psychic damage at the start of each of its turns until the grapple ends. The spawn has four tentacles, each of which can grapple one creature. Psychic Lash. Ranged Spell Attack: +7 to hit, range 120 ft., one creature. Hit: 18 (4d8) psychic damage.","","","","","","",""
"Abominable Yeti","MM","Huge","monstrosity","chaotic evil","15 (natural armor)","137 (11d12 + 66)","40 ft., climb 40 ft.","24","10","22","9","13","9","","Perception +5, Stealth +4","","","cold","","darkvision 60 ft., passive Perception 15","Yeti","9 (5,000 XP)"," Fear of Fire. If the yeti takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn. Keen Smell. The yeti has advantage on Wisdom (Perception) checks that rely on smell. Snow Camouflage. The yeti has advantage on Dexterity (Stealth) checks made to hide in snowy terrain."," Multiattack. The yeti can use its Chilling Gaze and makes two claw attacks. Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage plus 7 (2d6) cold damage. Chilling Gaze. The yeti targets one creature it can see within 30 feet of it. If the target can see the yeti, the target must succeed on a DC 18 Constitution saving throw against this magic or take 21 (6d6) cold damage and then be paralyzed for 1 minute, unless it is immune to cold damage. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If the target's saving throw is successful, or if the effect ends on it, the target is immune to this yeti's gaze for 1 hour. Cold Breath (Recharge 6). The yeti exhales a 30-foot cone of frigid air. Each creature in that area must make a DC 18 Constitution saving throw, taking 45 (10d8) cold damage on a failed save, or half as much damage on a successful one.","","","","","","","Arctic"
"Abyssal Chicken","BGDIA","Tiny","fiend (demon)","chaotic evil","13 (natural armor)","10 (3d4 + 3)","30 ft., fly 30 ft. (see bad flier below)","6","14","13","4","9","5","","","","cold, fire, lightning","poison","blinded, poisoned","blindsight 30 ft. (blind beyond this radius), passive Perception 9","understands Abyssal but can't speak","1/4 (50 XP)"," Bad Flier. The abyssal chicken falls at the end of a turn if it's airborne and the only thing holding it aloft is its flying speed."," Multiattack. The abyssal chicken makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage. Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.","","","","","","",""
"Abyssal Wretch","MTF","Medium","fiend (demon)","chaotic evil","11","18 (4d8)","20 ft.","9","12","11","5","8","5","","","","cold, fire, lightning","poison","charmed, frightened, poisoned","darkvision 120 ft., passive Perception 9","understands Abyssal but can't speak","1/4 (50 XP)",""," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) slashing damage.","","","","","","",""
"Acolyte","MM","Medium","humanoid (any race)","any alignment","10","9 (2d8)","30 ft.","10","10","10","10","14","11","","Medicine +4, Religion +2","","","","","passive Perception 12","any one language (usually Common)","1/4 (50 XP)"," Spellcasting. The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The acolyte has following cleric spells prepared:Cantrips (at will): light, sacred flame, thaumaturgy1st level (3 slots): bless, cure wounds, sanctuary"," Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.","","","","","","","Urban"
"Adult Amethyst Dragon","FTD","Huge","dragon (gem)","neutral","19 (natural armor)","229 (17d12 + 119)","40 ft., fly 80 ft. (hover), swim 40 ft.","25","14","25","20","17","21","Dex +7, Con +12, Wis +8, Cha +10","Arcana +15, Perception +13, Persuasion +10, Stealth +7","","force, psychic","","frightened, prone","blindsight 60 ft., darkvision 120 ft., passive Perception 23","Common, Draconic, telepathy 120 ft.","16 (15,000 XP) or 17 (18,000 XP) when encountered in lair"," Amphibious. The dragon can breathe both air and water. Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead."," Multiattack. The dragon makes one Bite attack and two Claw attacks. Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 9 (2d8) force damage. Claw. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 11 (1d8 + 7) slashing damage. Singularity Breath (Recharge 5–6). The dragon creates a shining bead of gravitational force in its mouth, then releases the energy in a 90-foot cone. Each creature in that area must make a DC 20 Strength saving throw. On a failed save, the creature takes 45 (10d8) force damage, and its speed becomes 0 until the start of the dragon's next turn. On a successful save, the creature takes half as much damage, and its speed isn't reduced. Spellcasting (Psionics). The dragon casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 18):1/day each: blink, control water, dispel magic, protection from evil and good, sending"," Change Shape. The dragon magically transforms into any creature that is Medium or Small, while retaining its game statistics (other than its size). This transformation ends if the dragon is reduced to 0 hit points or uses a bonus action to end it. Psychic Step. The dragon magically teleports to an unoccupied space it can see within 60 feet of it.",""," Claw. The dragon makes one claw attack. Psionics (Costs 2 Actions). The dragon uses Psychic Step or Spellcasting. Explosive Crystal (Costs 3 Actions). The dragon spits an amethyst that that explodes at a point it can see within 60 feet of it. Each creature within a 20-foot-radius sphere centered on that point must succeed on a DC 20 Dexterity saving throw or take 13 (3d8) force damage and be knocked prone.","","On initiative count 20 (losing initiative ties), the dragon can take one of the following lair actions; the dragon can't take the same lair action two rounds in a row:Beguiling Whisper. The dragon telepathically whispers to one creature within range of the dragon's telepathy. The creature must succeed on a DC 15 Wisdom saving throw or be charmed by the dragon until initiative count 20 on the next round. A creature charmed in this way obeys to the best of its ability any command the dragon issues that isn't directly harmful to the creature.Imprisoning Force. The dragon casts the forcecage spell, using its spell save DC and requiring no spell components. The spell ends early if the dragon uses this lair action again or dies.Spatial Projection. The dragon chooses a space it can fit into within the lair. It exists in its own space and the chosen space simultaneously until initiative count 20 on the next round. Whenever it moves or takes an action, it chooses which version of itself is moving or acting. If an effect or attack can target both of the dragon's spaces at the same time, the dragon is affected only once.","The region surrounding a legendary amethyst dragon's lair is altered by the dragon's magic, creating one or more of the following effects:Background Check. Once per day, the dragon can cast the legend lore spell, requiring no spell components, naming any person, place, or object within 1 mile of the lair as the spell's subject.Crystal Profusion. Amethyst crystals and geodes form along muddy shores and lake beds within 6 miles of the lair.Thriving Wildlife. Fish and other aquatic Beasts reproduce rapidly and thrive in bodies of water within 6 miles of the lair. Foraging in these waters yields twice the usual amount of food.Watery Sight. Water within 6 miles of the lair is a conduit for the dragon's psionic presence. As an action, the dragon can cast the clairvoyance spell, requiring no spell components and targeting any body of water in that region.If the dragon dies, the populations of aquatic life near the lair return to normal levels over the course of 1d10 days. The existing abundance of amethysts remains, but new crystals and geodes form at a normal rate.",""
"Adult Black Dragon","MM","Huge","dragon","chaotic evil","19 (natural armor)","195 (17d12 + 85)","40 ft., fly 80 ft., swim 40 ft.","23","14","21","14","13","17","Dex +7, Con +10, Wis +6, Cha +8","Perception +11, Stealth +7","","","acid","","blindsight 60 ft., darkvision 120 ft., passive Perception 21","Common, Draconic","14 (11,500 XP)"," Amphibious. The dragon can breathe air and water. Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead."," Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) acid damage. Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage. Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage. Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. Acid Breath (Recharge 5–6). The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.","",""," Detect. The dragon makes a Wisdom (Perception) check. Tail Attack. The dragon makes a tail attack. Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.","","On initiative count 20 (losing initiative ties), the dragon takes a lair action to cause one of the following effects; the dragon can't use the same effect two rounds in a row:Pools of water that the dragon can see within 120 feet of it surge outward in a grasping tide. Any creature on the ground within 20 feet of such a pool must succeed on a DC 15 Strength saving throw or be pulled up to 20 feet into the water and knocked prone.A cloud of swarming insects fills a 20-foot-radius sphere centered on a point the dragon chooses within 120 feet of it. The cloud spreads around corners and remains until the dragon dismisses it as an action, uses this lair action again, or dies. The cloud is lightly obscured. Any creature in the cloud when it appears must make on a DC 15 Constitution saving throw, taking 10 (3d6) piercing damage on a failed save, or half as much damage on a successful one. A creature that ends its turn in the cloud takes 10 (3d6) piercing damage.Magical darkness spreads from a point the dragon chooses within 60 feet of it, filling a 15-foot-radius sphere until the dragon dismisses it as an action, uses this lair action again, or dies. The darkness spreads around corners. A creature with darkvision can't see through this darkness, and nonmagical light can't illuminate it. If any of the effect's area overlaps with an area of light created by a spell of 2nd level or lower, the spell that created the light is dispelled. Additional Lair Actions[–] At your discretion, a legendary (adult or ancient) black dragon can use one or more of the following additional lair actions while in its lair:Filth Burst. The dragon chooses a point on the ground it can see within 120 feet of it. A 20-foot-radius, 20-foot-high cylinder of watery filth centered on that point erupts from the ground until initiative count 20 on the next round. Each creature in the cylinder when it appears or that ends its turn there must make a DC 15 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one. The cylinder is difficult terrain.Grasping Muck. Tendrils of roiling muck extend from the dragon's lair to grasp up to three creatures of the dragon's choice that it can see within the lair. A targeted creature must succeed on a DC 15 Strength saving throw or be restrained until initiative count 20 on the next round.Noxious Gas. A bubble of swamp gas erupts in a 20-foot-radius sphere centered on a point the dragon can see within its lair. Each creature in the area must succeed on a DC 15 Constitution saving throw or be poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","The region containing a legendary black dragon's lair is warped by the dragon's magic, which creates one or more of the following effects:The land within 6 miles of the lair takes twice as long as normal to traverse, since the plants grow thick and twisted, and the swamps are thick with reeking mud.Water sources within 1 mile of the lair are supernaturally fouled. Enemies of the dragon that drink such water regurgitate it within minutes.Fog lightly obscures the land within 6 miles of the lair.If the dragon dies, vegetation remains as it has grown, but other effects fade over 1d10 days. Additional Regional Effects[–] Any of these effects might appear in the area around a black dragon's lair, in addition to or instead of the effects described in the Monster Manual:Ennui. Creatures that spend a year within 10 miles of the dragon's lair are filled with listless despair.Grating Spies. Trilling, obnoxious birds, bugs, and reptiles follow any Humanoid creatures unknown to the dragon within 6 miles of the lair, imposing disadvantage on Dexterity (Stealth) checks. The dragon can suppress this effect at will.Rotting Domain. Stinging bugs are aggressive and the air is heavy with the odor of rot within 6 miles of the lair.","Swamp"
"Adult Blue Dracolich","MM","Huge","undead","lawful evil","19 (natural armor)","225 (18d12 + 108)","40 ft., burrow 30 ft., fly 80 ft.","25","10","23","16","15","19","Dex +6, Con +12, Wis +8, Cha +10","Perception +14, Stealth +6","","necrotic","lightning, poison","charmed, exhaustion, frightened, paralyzed, poisoned","blindsight 60 ft., darkvision 120 ft., passive Perception 24","Common, Draconic","17 (18,000 XP)"," Legendary Resistance (3/Day). If the dracolich fails a saving throw, it can choose to succeed instead. Magic Resistance. The dracolich has advantage on saving throws against spells and other magical effects."," Multiattack. The dracolich can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. Bite. Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage. Claw. Melee Weapon Attack: +13 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage. Tail. Melee Weapon Attack: +13 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage. Frightful Presence. Each creature of the dracolich's choice that is within 120 feet of the dracolich and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dracolich's Frightful Presence for the next 24 hours. Lightning Breath (Recharge 5–6). The dracolich exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 20 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.","",""," Detect. The dracolich makes a Wisdom (Perception) check. Tail Attack. The dracolich makes a tail attack. Wing Attack (Costs 2 Actions). The dracolich beats its tattered wings. Each creature within 10 feet of the dracolich must succeed on a DC 21 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. After beating its wings this way, the dracolich can fly up to half its flying speed.","","On initiative count 20 (losing initiative ties), the dragon takes a lair action to cause one of the following effects; the dragon can't use the same effect two rounds in a row:Part of the ceiling collapses above one creature that the dragon can see within 120 feet of it. The creature must succeed on a DC 15 Dexterity saving throw or take 10 (3d6) bludgeoning damage and be knocked prone and buried. The buried target is restrained and unable to breathe or stand up. A creature can take an action to make a DC 10 Strength check, ending the buried state on a success.A cloud of sand swirls about in a 20-foot-radius sphere centered on a point the dragon can see within 120 feet of it. The cloud spreads around corners. Each creature in the cloud must succeed on a DC 15 Constitution saving throw or be blinded for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.Lightning arcs, forming a 5-foot-wide line between two of the lair's solid surfaces that the dragon can see. They must be within 120 feet of the dragon and 120 feet of each other. Each creature in that line must succeed on a DC 15 Dexterity saving throw or take 10 (3d6) lightning damage. Additional Lair Actions[–] At your discretion, a legendary (adult or ancient) blue dragon can use one or both of the following additional lair actions while in its lair:Misleading Mirage. Until initiative count 20 on the next round, at each intersection or branching passage in the lair, a creature other than the dragon has a 50 percent chance of going in a different direction from the direction it intends.Sudden Sinkhole. The dragon chooses a point on the ground that it can see within 120 feet of it. A 5-foot-radius, 20-foot-deep pit forms centered on that point. A creature on the ground above where the pit formed must make a DC 15 Dexterity saving throw. On a failed save, a creature falls to the bottom of the pit, taking 7 (2d6) bludgeoning damage and landing prone. On a successful save, a creature moves to the nearest unoccupied space instead of falling in the pit.","The region containing a legendary blue dragon's lair is warped by the dragon's magic, which creates one or more of the following effects:Thunderstorms rage within 6 miles of the lair.Dust devils scour the land within 6 miles of the lair. A dust devil has the statistics of an air elemental, but it can't fly, has a speed of 50 feet, and has an Intelligence and Charisma of 1 (-5).Hidden sinkholes form in and around the dragon's lair. A sinkhole can be spotted from a safe distance with a successful DC 20 Wisdom (Perception) check. Otherwise, the first creature to step on the thin crust covering the sinkhole must succeed on a DC 15 Dexterity saving throw or fall 1d6 × 10 feet into the sinkhole.If the dragon dies, the dust devils disappear immediately, and the thunderstorms abate within 1d10 days. Any sinkholes remain where they are. Additional Regional Effects[–] Any of these effects might appear in the area around a blue dragon's lair, in addition to or instead of the effects described in the Monster Manual:Blue Luster. Creatures that spend a year within 1 mile of the dragon's lair find blue objects fascinating and feel compelled to acquire them at every opportunity.Mirage Terrain. The area immediately surrounding the lair appears to be a lush oasis. A creature carefully examining the illusion can attempt a DC 15 Intelligence (Investigation) check to disbelieve it. A creature who disbelieves the illusion sees it as a vague image superimposed on the underlying terrain.Sandstorm. A sandstorm blows constantly within 1 mile of the dragon's lair.","Desert"
"Adult Blue Dragon","MM","Huge","dragon","lawful evil","19 (natural armor)","225 (18d12 + 108)","40 ft., burrow 30 ft., fly 80 ft.","25","10","23","16","15","19","Dex +5, Con +11, Wis +7, Cha +9","Perception +12, Stealth +5","","","lightning","","blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic","16 (15,000 XP)"," Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead."," Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage. Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage. Tail. Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage. Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. Lightning Breath (Recharge 5–6). The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.","",""," Detect. The dragon makes a Wisdom (Perception) check. Tail Attack. The dragon makes a tail attack. Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.","","On initiative count 20 (losing initiative ties), the dragon takes a lair action to cause one of the following effects; the dragon can't use the same effect two rounds in a row:Part of the ceiling collapses above one creature that the dragon can see within 120 feet of it. The creature must succeed on a DC 15 Dexterity saving throw or take 10 (3d6) bludgeoning damage and be knocked prone and buried. The buried target is restrained and unable to breathe or stand up. A creature can take an action to make a DC 10 Strength check, ending the buried state on a success.A cloud of sand swirls about in a 20-foot-radius sphere centered on a point the dragon can see within 120 feet of it. The cloud spreads around corners. Each creature in the cloud must succeed on a DC 15 Constitution saving throw or be blinded for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.Lightning arcs, forming a 5-foot-wide line between two of the lair's solid surfaces that the dragon can see. They must be within 120 feet of the dragon and 120 feet of each other. Each creature in that line must succeed on a DC 15 Dexterity saving throw or take 10 (3d6) lightning damage. Additional Lair Actions[–] At your discretion, a legendary (adult or ancient) blue dragon can use one or both of the following additional lair actions while in its lair:Misleading Mirage. Until initiative count 20 on the next round, at each intersection or branching passage in the lair, a creature other than the dragon has a 50 percent chance of going in a different direction from the direction it intends.Sudden Sinkhole. The dragon chooses a point on the ground that it can see within 120 feet of it. A 5-foot-radius, 20-foot-deep pit forms centered on that point. A creature on the ground above where the pit formed must make a DC 15 Dexterity saving throw. On a failed save, a creature falls to the bottom of the pit, taking 7 (2d6) bludgeoning damage and landing prone. On a successful save, a creature moves to the nearest unoccupied space instead of falling in the pit.","The region containing a legendary blue dragon's lair is warped by the dragon's magic, which creates one or more of the following effects:Thunderstorms rage within 6 miles of the lair.Dust devils scour the land within 6 miles of the lair. A dust devil has the statistics of an air elemental, but it can't fly, has a speed of 50 feet, and has an Intelligence and Charisma of 1 (-5).Hidden sinkholes form in and around the dragon's lair. A sinkhole can be spotted from a safe distance with a successful DC 20 Wisdom (Perception) check. Otherwise, the first creature to step on the thin crust covering the sinkhole must succeed on a DC 15 Dexterity saving throw or fall 1d6 × 10 feet into the sinkhole.If the dragon dies, the dust devils disappear immediately, and the thunderstorms abate within 1d10 days. Any sinkholes remain where they are. Additional Regional Effects[–] Any of these effects might appear in the area around a blue dragon's lair, in addition to or instead of the effects described in the Monster Manual:Blue Luster. Creatures that spend a year within 1 mile of the dragon's lair find blue objects fascinating and feel compelled to acquire them at every opportunity.Mirage Terrain. The area immediately surrounding the lair appears to be a lush oasis. A creature carefully examining the illusion can attempt a DC 15 Intelligence (Investigation) check to disbelieve it. A creature who disbelieves the illusion sees it as a vague image superimposed on the underlying terrain.Sandstorm. A sandstorm blows constantly within 1 mile of the dragon's lair.","Coastal, Desert"
"Adult Brass Dragon","MM","Huge","dragon","chaotic good","18 (natural armor)","172 (15d12 + 75)","40 ft., burrow 40 ft., fly 80 ft.","23","10","21","14","13","17","Dex +5, Con +10, Wis +6, Cha +8","History +7, Perception +11, Persuasion +8, Stealth +5","","","fire","","blindsight 60 ft., darkvision 120 ft., passive Perception 21","Common, Draconic","13 (10,000 XP)"," Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead."," Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage. Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage. Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage. Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. Breath Weapons (Recharge 5–6). The dragon uses one of the following breath weapons.Fire Breath. The dragon exhales fire in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 45 (13d6) fire damage on a failed save, or half as much damage on a successful one.Sleep Breath. The dragon exhales sleep gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.","",""," Detect. The dragon makes a Wisdom (Perception) check. Tail Attack. The dragon makes a tail attack. Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.","","On initiative count 20 (losing initiative ties), the dragon takes a lair action to cause one of the following effects:A strong wind blows around the dragon. Each creature within 60 feet of the dragon must succeed on a DC 15 Strength saving throw or be pushed 15 feet away from the dragon and knocked prone. Gases and vapors are dispersed by the wind, and unprotected flames are extinguished. Protected flames; such as lanterns, have a 50 percent chance of being extinguished.A cloud of sand swirls about in a 20-foot-radius sphere centered on a point the dragon can see within 120 feet of it. The cloud spreads around corners. Each creature in it must succeed on a DC 15 Constitution saving throw or be blinded for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Additional Lair Actions[–] At your discretion, a legendary (adult or ancient) brass dragon can use one or more of the following additional lair actions while in its lair:Animate Statues. The dragon chooses up to three statues in the lair that it can see. Each of these statues briefly animates and attacks one creature within 5 feet of it, with a +7 bonus to hit and dealing 10 (3d6) bludgeoning damage on a hit.Blast of Wind. A mighty wind sweeps through the lair in a direction of the dragon's choice, blowing along a line 40 feet wide and 100 feet long. Each creature in that area except the dragon must succeed on a DC 15 Strength saving throw or be pushed 15 feet in the wind's direction and be knocked prone. Gases and vapors are dispersed by the wind, and unprotected flames are extinguished. Protected flames, such as lanterns, have a 50 percent chance of being extinguished. If the dragon is within the area of the wind, it can choose to be pushed 15 feet in the wind's direction, and the wind can't knock the dragon prone.Obscuring Sand. Dust and sand fill the air within 120 feet of the dragon, making the area lightly obscured until initiative count 20 on the next round.","The region containing a legendary brass dragon's lair is warped by the dragon's magic, which creates one or more of the following effects:Tracks appear in the sand within 6 miles of the dragon's lair. The tracks lead to safe shelters and hidden water sources, while also leading away from areas that the dragon prefers to remain undisturbed.Images of Large or smaller monsters haunt the desert sands within 1 mile of the dragon's lair. These illusions move and appear real, although they can do no harm. A creature that examines an image from a distance can tell it's an illusion with a successful DC 20 Intelligence (Investigation) check. Any physical interaction with an image reveals it to be an illusion, because objects pass through it.Whenever a creature with an Intelligence of 3 or higher comes within 30 feet of a water source within 1 mile of the dragon's lair, the dragon becomes aware of the creature's presence and location.If the dragon dies, the tracks fade in 1d10 days, but the other effects fade immediately. Additional Regional Effects[–] Any of these effects might appear in the area around a brass dragon's lair, in addition to or instead of the effects described in the Monster Manual:Cloud Companion. A small, wispy cloud follows non-evil creatures as they journey within 6 miles of the dragon's lair. It changes direction as the creatures do, remaining interposed between them and the direct glare of the sun, and grants them advantage on saving throws to resist the effects of extreme heat (see the Dungeon Master's Guide).Talkative Denizens. Creatures within 1 mile of the dragon's lair find pleasure in hearing the sound of their own voices. The air is filled with a deafening chorus of birds and small animals, and sapient creatures talk extensively.","Desert"
